,mean_test_score,mean_train_score,mean_fit_time,param_svc__C,param_svc__gamma,param_svc__kernel
113,0.6617488909799704,0.7897906228308197,0.06619239807128906,4.281332398719392,0.0012742749857031321,rbf
132,0.6575628444683426,0.7873557560842221,0.0644591999053955,14.38449888287663,0.0006158482110660261,rbf
94,0.6561769054980507,0.7809155045118951,0.06259506225585937,1.2742749857031335,0.0026366508987303553,rbf
114,0.6554819196128512,0.8946068446183295,0.06928003311157227,4.281332398719392,0.0026366508987303553,rbf
150,0.6552466729399113,0.7473316926442439,0.06247805595397949,48.32930238571752,0.0001438449888287663,rbf
324,0.6549979835999461,0.7972166340632297,8.992133693695068,2636650.8987303553,1.8329807108324375e-06,rbf
305,0.6547627369270063,0.8357312635409437,2.0267887115478516,784759.9703514606,3.7926901907322535e-06,rbf
95,0.6538634225030246,0.8808581224627163,0.06749233245849609,1.2742749857031335,0.005455594781168515,rbf
267,0.6538526683694045,0.8712302223344062,0.8510516834259033,69519.27961775605,1.623776739188721e-05,rbf
187,0.6538405699690819,0.74292362381944,0.06334630966186523,545.5594781168514,1.623776739188721e-05,rbf
286,0.6538365371689743,0.8539451841568331,1.2215587711334228,233572.14690901214,7.847599703514607e-06,rbf
248,0.6536214544965722,0.8904888832796953,0.6006308746337891,20691.3808111479,3.359818286283781e-05,rbf
205,0.6533821750235247,0.7387464293977831,0.06700498580932618,1832.9807108324337,3.7926901907322535e-06,rbf
325,0.6533794864901195,0.8936782145937191,17.983936414718627,2636650.8987303553,3.7926901907322535e-06,rbf
304,0.6533754536900122,0.7796408994341726,1.6398753547668456,784759.9703514606,1.8329807108324375e-06,rbf
152,0.6529264686113724,0.8654311015754823,0.08235199928283692,48.32930238571752,0.0006158482110660261,rbf
223,0.6529197472778598,0.7350341810226962,0.061571474075317385,6158.482110660255,8.858667904100833e-07,rbf
260,0.6529170587444548,0.7376439704675964,0.05993429183959961,69519.27961775605,1e-07,rbf
242,0.6529143702110499,0.7411837361435393,0.06391400337219239,20691.3808111479,4.281332398719396e-07,rbf
151,0.6526858448716226,0.7819626007025515,0.07128319740295411,48.32930238571752,0.0002976351441631316,rbf
266,0.652676435004705,0.7889223196819589,0.40239315032958983,69519.27961775605,7.847599703514607e-06,rbf
131,0.6524573195321952,0.7451275320249888,0.062320613861083986,14.38449888287663,0.0002976351441631316,rbf
93,0.6524505981986826,0.7257548642224606,0.06368154525756836,1.2742749857031335,0.0012742749857031321,rbf
320,0.6524479096652774,0.7493618560821186,0.39712923049926757,2636650.8987303553,1e-07,rbf
168,0.6522247613926602,0.737006373446078,0.061654882431030275,162.3776739188721,3.359818286283781e-05,rbf
167,0.6520002688533405,0.7245354536084644,0.06393101692199707,162.3776739188721,1.623776739188721e-05,rbf
112,0.651996236053233,0.7378193138554091,0.06343124389648437,4.281332398719392,0.0006158482110660261,rbf
149,0.6519948917865304,0.7305691508382239,0.06296753883361816,48.32930238571752,6.951927961775606e-05,rbf
224,0.6519854819196128,0.7452442312950925,0.06912084579467774,6158.482110660255,1.8329807108324375e-06,rbf
222,0.6517677107138056,0.7240137144780295,0.06168639183044434,6158.482110660255,4.281332398719396e-07,rbf
285,0.651747546713268,0.7845709598031173,0.6104643058776855,233572.14690901214,3.7926901907322535e-06,rbf
261,0.6512864632343057,0.7465784060074461,0.06758755683898926,69519.27961775605,2.06913808111479e-07,rbf
209,0.6512837747009006,0.8190847479018111,0.15027424812316895,1832.9807108324337,6.951927961775606e-05,rbf
344,0.6512730205672805,0.787296270587493,20.308998308181764,8858667.904100832,1.8329807108324375e-06,rbf
133,0.6510727248286061,0.8837014787236279,0.07303462982177734,14.38449888287663,0.0012742749857031321,rbf
247,0.6510579378948783,0.7962309585410488,0.34612982749938964,20691.3808111479,1.623776739188721e-05,rbf
169,0.6510525608280682,0.7517989104141688,0.06874311447143555,162.3776739188721,6.951927961775606e-05,rbf
171,0.650824035488641,0.8494797332828505,0.09781023979187012,162.3776739188721,0.0002976351441631316,rbf
130,0.6506102970829413,0.7223895164174081,0.06171805381774902,14.38449888287663,0.0001438449888287663,rbf
190,0.6505914773491059,0.8324263267495425,0.11847098350524903,545.5594781168514,0.0001438449888287663,rbf
204,0.6503683290764887,0.7289448686397005,0.06351576805114746,1832.9807108324337,1.8329807108324375e-06,rbf
148,0.6503669848097862,0.7147346500915,0.06198949813842773,48.32930238571752,3.359818286283781e-05,rbf
240,0.6501492136039789,0.719198838896952,0.061817560195922855,20691.3808111479,1e-07,rbf
241,0.6501384594703589,0.732192844071433,0.061653146743774416,20691.3808111479,2.06913808111479e-07,rbf
203,0.6499032127974189,0.713980522075682,0.06186025619506836,1832.9807108324337,8.858667904100833e-07,rbf
185,0.6496840973249093,0.719488778107318,0.06096200942993164,545.5594781168514,3.7926901907322535e-06,rbf
111,0.6496706546578841,0.7102097137207883,0.0651887035369873,4.281332398719392,0.0002976351441631316,rbf
170,0.6496639333243717,0.7772631623230475,0.07943670272827148,162.3776739188721,0.0001438449888287663,rbf
206,0.6496558677241565,0.7479121600302896,0.07181905746459961,1832.9807108324337,7.847599703514607e-06,rbf
186,0.6494380965183493,0.73288866452115,0.0602783203125,545.5594781168514,7.847599703514607e-06,rbf
188,0.6491961285118967,0.7542939357607117,0.07340129852294922,545.5594781168514,3.359818286283781e-05,rbf
343,0.6489514719720393,0.7526088218590269,10.267480764389038,8858667.904100832,8.858667904100833e-07,rbf
221,0.6487404220997446,0.7081797185587176,0.06471479415893555,6158.482110660255,2.06913808111479e-07,rbf
321,0.6487108482322893,0.7502894764519047,0.7467955493927002,2636650.8987303553,2.06913808111479e-07,rbf
229,0.6485159295604248,0.9126455901222102,0.4348248291015625,6158.482110660255,6.951927961775606e-05,rbf
303,0.6485011426266972,0.7653109526513956,1.1053110313415528,784759.9703514606,8.858667904100833e-07,rbf
323,0.6480077967468746,0.7657769083527901,3.8349454402923584,2636650.8987303553,8.858667904100833e-07,rbf
166,0.6478115338083076,0.7080636923918303,0.06293997764587403,162.3776739188721,7.847599703514607e-06,rbf
306,0.6475991396693104,0.9526111777202836,5.3550331401824955,784759.9703514606,7.847599703514607e-06,rbf
384,0.6475843527355828,0.7776112408237101,41.812346611022946,100000000.0,1.8329807108324375e-06,rbf
280,0.6475682215351526,0.7512188637176331,0.0755377197265625,233572.14690901214,1e-07,rbf
244,0.647564188735045,0.7533064933425885,0.09132575988769531,20691.3808111479,1.8329807108324375e-06,rbf
129,0.6471219249899179,0.7010448244673019,0.06259002685546874,14.38449888287663,6.951927961775606e-05,rbf
189,0.6468759241833579,0.7732034244126124,0.08607791900634766,545.5594781168514,6.951927961775606e-05,rbf
243,0.6468732356499529,0.747158873393492,0.07548068046569824,20691.3808111479,8.858667904100833e-07,rbf
